City,State,Query,Coordinates,Latitude,Longitude
Artvin,Kemalpaşa,Artvin Kemalpaşa,"41.4816221,41.5239913",41.4816221,41.5239913
Artvin,Hopa,Artvin Hopa,"41.4024081,41.4224843",41.4024081,41.4224843
Artvin,Arhavi,Artvin Arhavi,"41.3524449,41.3029239",41.3524449,41.3029239
Artvin,Ardanuç,Artvin Ardanuç,"41.08695,42.0657034",41.08695,42.0657034
Artvin,Merkez,Artvin Merkez,"41.1363832,41.6793819",41.1363832,41.6793819
Aydın,Bozdoğan,Aydın Bozdoğan,"37.6709668,28.305971",37.6709668,28.305971
Aydın,Buharkent,Aydın Buharkent,"37.9720108,28.7345154",37.9720108,28.7345154
Aydın,Çine,Aydın Çine,"37.612559,28.0517873",37.612559,28.0517873
Aydın,Didim,Aydın Didim,"37.3723241,27.2585934",37.3723241,27.2585934
Aydın,Germencik,Aydın Germencik,"37.8703409,27.5875739",37.8703409,27.5875739
Aydın,İncirliova,Aydın İncirliova,"37.8518158,27.7197884",37.8518158,27.7197884
Aydın,Karpuzlu,Aydın Karpuzlu,"37.5597677,27.8316717",37.5597677,27.8316717
Aydın,Koçarlı,Aydın Koçarlı,"37.5597677,27.8316717",37.5597677,27.8316717
Aydın,Efeler,Aydın Efeler,"37.8358101,27.8267742",37.8358101,27.8267742
Aydın,Kuşadası,Aydın Kuşadası,"37.8557184,27.2504919",37.8557184,27.2504919
Aydın,Köşk,Aydın Köşk,"37.8527479,28.0481559",37.8527479,28.0481559
Aydın,Yenipazar,Aydın Yenipazar,"37.8263594,28.189692",37.8263594,28.189692
Aydın,Sultanhisar,Aydın Sultanhisar,"37.9435044,28.1476846",37.9435044,28.1476846
Aydın,Karacasu,Aydın Karacasu,"37.7284683,28.5990705",37.7284683,28.5990705
Aydın,Nazilli,Aydın Nazilli,"37.9103015,28.3162419",37.9103015,28.3162419
Aydın,Söke,Aydın Söke,"37.6767616,27.1936072",37.6767616,27.1936072
Aydın,Kuyucak,Aydın Kuyucak,"37.9141489,28.4576479",37.9141489,28.4576479
Ağrı,Patnos,Ağrı Patnos,"39.2328513,42.837197",39.2328513,42.837197
Ağrı,Merkez,Ağrı Merkez,"39.7786143,42.9744772",39.7786143,42.9744772
Ağrı,Hamur,Ağrı Hamur,"39.4953348,42.9975044",39.4953348,42.9975044
Ağrı,Eleşkirt,Ağrı Eleşkirt,"39.8018806,42.672947",39.8018806,42.672947
Ağrı,Doğubayazıt,Ağrı Doğubayazıt,"39.5550708,44.0507905",39.5550708,44.0507905
Ağrı,Diyadin,Ağrı Diyadin,"39.5439716,43.6615523",39.5439716,43.6615523
Ağrı,Taşlıçay,Ağrı Taşlıçay,"39.6353001,43.3710399",39.6353001,43.3710399
Ağrı,Tutak,Ağrı Tutak,"39.5439461,42.7636259",39.5439461,42.7636259
Balıkesir,Gönen,Balıkesir Gönen,"40.1073348,27.6421438",40.1073348,27.6421438
Balıkesir,Gömeç,Balıkesir Gömeç,"39.3855257,26.8340014",39.3855257,26.8340014
Balıkesir,Burhaniye,Balıkesir Burhaniye,"39.5024977,26.9675364",39.5024977,26.9675364
Balıkesir,Bigadiç,Balıkesir Bigadiç,"39.4013236,28.1264942",39.4013236,28.1264942
Balıkesir,Bandırma,Balıkesir Bandırma,"40.3389328,27.9455895",40.3389328,27.9455895
Balıkesir,Balya,Balıkesir Balya,"39.7496706,27.5767463",39.7496706,27.5767463
Balıkesir,Erdek,Balıkesir Erdek,"40.4027359,27.7751883",40.4027359,27.7751883
Balıkesir,Ayvalık,Balıkesir Ayvalık,"39.3336394,26.6880781",39.3336394,26.6880781
Balıkesir,Altıeylül,Balıkesir Altıeylül,"39.6478537,27.8691101",39.6478537,27.8691101
Balıkesir,Dursunbey,Balıkesir Dursunbey,"39.5846057,28.6202359",39.5846057,28.6202359
Balıkesir,Edremit,Balıkesir Edremit,"39.6586195,26.7938574",39.6586195,26.7938574
Balıkesir,Sındırgı,Balıkesir Sındırgı,"39.2429157,28.1700229",39.2429157,28.1700229
Balıkesir,Havran,Balıkesir Havran,"39.5599256,27.0932102",39.5599256,27.0932102
Balıkesir,İvrindi,Balıkesir İvrindi,"39.5812196,27.4859038",39.5812196,27.4859038
Balıkesir,Susurluk,Balıkesir Susurluk,"39.9146361,28.1532269",39.9146361,28.1532269
Balıkesir,Karesi,Balıkesir Karesi,"39.6478537,27.8691101",39.6478537,27.8691101
Balıkesir,Kepsut,Balıkesir Kepsut,"39.6882897,28.1536949",39.6882897,28.1536949
Balıkesir,Manyas,Balıkesir Manyas,"40.0461566,27.9693047",40.0461566,27.9693047
Balıkesir,Marmara,Balıkesir Marmara,"40.5681123,27.5633945",40.5681123,27.5633945
Balıkesir,Savaştepe,Balıkesir Savaştepe,"39.4337923,27.5938109",39.4337923,27.5938109
Bartın,Kurucaşile,Bartın Kurucaşile,"41.8431654,32.7188404",41.8431654,32.7188404
Bartın,Ulus,Bartın Ulus,"41.5431285,32.5800639",41.5431285,32.5800639
